,detalhe,link,preco,titulo
13, 2 quartos | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-semi-mobiliado-na-zona-sul-de-natal-rn-perto-da-ufrn-unp-praias-636142343,"
 R$ 1.000
",Apartamento Semi-Mobiliado na Zona Sul de Natal RN - Perto da UFRN/UNP/ Praias
14, 2 quartos | 52 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/melhor-opcao-de-ponta-negra-636139783,"
 R$ 1.300
 R$ 30.000
",Melhor opção de Ponta Negra
15, 3 quartos | 68 m² | 2 vagas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-2-quartos-ponta-negra-636139695,"
 R$ 2.200
",Apartamento 2 quartos Ponta Negra
16, 2 quartos | 55 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-lindo-apartamento-3-4-todo-porcelanato-com-excelente-area-de-lazer-636132784,"
 R$ 2.800
",Alugo lindo Apartamento 3/4 todo porcelanato com excelente área de lazer
17, 2 quartos | 57 m² | Condomínio: R$ 1 | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/lindo-apartamento-para-aluga-totalmente-mobiliado-em-emaus-com-area-de-lazer-636125668,"
 R$ 1.100
",Lindo Apartamento para aluga totalmente mobiliado em Emaús com área de lazer
18, 2 quartos | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-ap-no-viver-bem-632112058,"
",Alugo ap no Viver Bem
19, 2 quartos | 55 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/locacao-kitnet-ao-lado-do-supermercado-redemais-603188206,"
 R$ 1.300
",Locação Kitnet ao lado do Supermercado Redemais
20, 1 quarto | 58 m² | Condomínio: R$ 100 | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-em-ponta-negra-por-r-1100-00-597758720,"
 R$ 750
","Apartamento em Ponta Negra por R$1100,00"
21, 3 quartos | 68 m² | 2 vagas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apart-no-flamboyants-636120089,"
 R$ 1.700
",Apart. no Flamboyants
22, 2 quartos | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/otimo-apartamento-em-tirol-no-cond-bello-tirol-com-2-quartos-sendo-1-suite-636119562,"
 R$ 850
",Ótimo Apartamento em Tirol no Cond. Bello Tirol com 2 Quartos Sendo 1 Suíte
23, 1 quarto | 44 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/lindo-apartamento-em-capim-macio-588029690,"
 R$ 1.300
",Lindo apartamento em Capim Macio
24, 2 quartos | 51 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/condominio-rio-branco-apto-2-4-62m-entre-abel-cabral-e-maria-lacerda-nova-parnamirim-636117695,"
 R$ 980
","Condomínio Rio Branco: Apto 2/4, 62m². Entre Abel Cabral e Maria Lacerda - Nova Parnamirim"
25, 1 quarto | 50 m² | 0 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/nimbus-abel-cabral-636105760,"
 R$ 570
",Nimbus Abel Cabral
26, 2 quartos | 60 m² | Condomínio: R$ 330 | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-em-capim-macio-cod-10669-636104695,"
 R$ 1.100
","Apartamento em capim macio, cod. 10669"
27, 2 quartos | 60 m² | Condomínio: R$ 1 | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-no-planalto-636102247,"
 R$ 700
",Apartamento no Planalto
28, 2 quartos | 57 m² | Condomínio: R$ 450 | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-mobiliado-proximo-ufrn-636100060,"
 R$ 2.000
",Apartamento Mobiliado Proximo UFRN
29, 2 quartos | 55 m² | Condomínio: R$ 270 | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/geraldo-pinho-150-m-4-4-636082687,"
 R$ 1.300
","Geraldo Pinho 150 m, 4/4."
30, 2 quartos | 62 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/sttilo-2-4-com-suite-mobiliado-av-abel-cabral-636077966,"
 R$ 900
","Sttilo 2/4 com suíte, mobiliado, Av. Abel Cabral"
31, 2 quartos | 54 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-com-1-dormitorio-para-alugar-60-m-por-r-900-mes-lagoa-nova-natal-rn-585690693,"
 R$ 1.200
","Apartamento com 1 dormitório para alugar, 60 m² por R$ 900/mês - Lagoa Nova - Natal/RN"
32, 2 quartos | 56 m² | Condomínio: R$ 397 | 2 vagas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-para-locacao-em-natal-candelaria-4-dormitorios-4-suites-5-banheiros-2-vag-525828313,"
 R$ 1.280
","Apartamento para locação em natal, candelária, 4 dormitórios, 4 suítes, 5 banheiros, 2 vag"
33, 2 quartos | 52 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-mobiliado-em-ponta-negra-2-4-suite-com-vista-para-o-mar-626414191,"
 R$ 650
","Apartamento mobiliado em ponta negra, 2/4 suite com vista para o mar"
34, 2 quartos | 80 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-2-quartos-mobiliado-no-ecogarden-ponta-negra-626254584,"
 R$ 1.350
","Apartamento 2 quartos, mobiliado no Ecogarden - Ponta Negra"
35, 4 quartos | 150 m² | 3 vagas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-kitnet-em-nova-parnamirim-636066334,"
 R$ 4.000
",Alugo kitnet em Nova Parnamirim
36, 2 quartos | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-almerio-paiva-petropolis-636047289,"
 R$ 1.700
",Alugo Almério Paiva Petrópolis
37, 1 quarto | 60 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-no-coracao-de-lagoa-nova-ed-portal-da-lagoa-636041356,"
 R$ 900
",Apartamento no coração de Lagoa Nova - Ed Portal da Lagoa
38, 4 quartos | 145 m² | 2 vagas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-no-barro-vermelho-1-4-r-1-200-00-com-taxas-597758208,"
 R$ 3.500
","Apartamento no Barro Vermelho ,1/4 R$ 1.200,00 com taxas"
39, 2 quartos | 56 m² | Condomínio: R$ 100 | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/flat-mobiliado-em-ponta-negra-com-1-4-incluso-internet-e-tv-a-cabo-636032897,"
 R$ 2.100
",Flat Mobiliado em Ponta Negra com 1/4 - Incluso internet e tv a cabo
40, 2 quartos | 46 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluguel-de-apartamento-636029048,"
 R$ 1.550
 R$ 1.600
",Aluguel de apartamento
41, 1 quarto | 46 m²,https://rn.olx.com.br/rio-grande-do-norte/imoveis/estrela-do-atlantico-apartamentos-de-2-quartos-em-ponta-negra-rn-612845724,"
 R$ 390
",Estrela do Atlântico (Apartamentos de 2 Quartos em Ponta Negra-RN)
42, 4 quartos | 180 m² | Condomínio: R$ 1280 | 2 vagas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/estrela-do-atlantico-apartamentos-de-2-quartos-em-ponta-negra-rn-612975341,"
 R$ 1.800
",Estrela do Atlântico (Apartamentos de 2 Quartos em Ponta Negra-RN)
43, 2 quartos | 57 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-apto-no-condominio-nova-aurora-636010580,"
 R$ 1.700
",Alugo apto no condomínio Nova Aurora
